Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
"Northshore Hamilton, Brisbane",DEV2014/553,Material Change of Use,"Animal Keeping - ""Paws & Relax"" - Short Term Dog Day Care",Development Permit,"Unit 3 Eaglebridge South, 112 Fison Avenue West, Eagle Farm Qld 4009",Lot 3 on SP141227,4/03/2014
Blackwater,DEV2014/554,Material Change of Use,1 into 2 subdivision with a duplex on each new allotment,Development Permit,"64 Bauman Way, Blackwater",Lot 16 on Crown Plan B337108,22/04/2014
,,Reconfiguring a Lot,,,,,
"Bowen Hills, Brisbane",DEV2014/555,Material Change of Use,Multi Level Commercial Extension - BCC Reference No. A003571663,Development Permit,"137 Abbotsford Road, Bowen Hills",Lot 1 on SP172144 and Lots 1 and 2 on BUP7727,27/06/2013
"Bowen Hills, Brisbane",DEV2014/556,Reconfiguring a Lot,Subdivision of Land - Brisbane City Council Reference No. A003698481,Development Permit,"631 Gregory Terrace, Bowen Hills",Lot 701 on SP219236,4/10/2013
"Northshore Hamilton, Brisbane",DEV2014/557,Reconfiguring a Lot,3 into 9 lot subdivision (staged in accordance with plans),Development Permit,"Macarthur Avenue, Hamilton","Lots 110, 111 and 112 on SP224971",5/06/2014
"Bowen Hills, Brisbane",DEV2014/558,Material Change of Use,Staged multiple residential (230 dwelling units) and ground floor retail,Development Permit,"15 Anderson Street, fortitude Valley",Lot 10 on SP208752,27/10/2014
"Oonoonba, Townsville",DEV2014/559,Reconfiguring a Lot,Stage 5 - 51 Residential Lots,Development Permit,"180-202 River Boulevard, Oonoonba",Lot 9000 on SP255455 and Lot 9001 on SP264446,1/09/2014
,,,Change to Approval approved 11 February 2015.,,,,
,,,Change to Approval approved 26 March 2015.,,,,
,,,Change to Approval approved 8 September 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2014/560,Operational Work,Mangrove Walk,Development Permit,"327, 329 and 331 Macarthur Avenue, Eagle Farm","Lots 110, 111 and 112 on SP224971",2/06/2014
,,,Change to Approval approved 29 September 2014.,,,,
"Northshore Hamilton, Brisbane",DEV2014/561,Operational Work,Stormwater Outlet,Development Permit,"Macarthur Avenue, Hamilton",Lot 1303 on SP195300 and Lot 2 on SP224040,25/06/2014
Parklands,DEV2014/562,Material Change of Use,"Reconfiguring a Lot (12 lots and roads) and Material Change of Use in accordance with a POD (CGV works associated with the Gold Coast Commonwealth Games 2018; residential; commercial; retail; sport, recreation and entertainment; and service and community.",Development Permit,"1 Parklands Drive, Southport",Lot 4 on SP267761 and Part of Parklands Drive Road Reserve,27/06/2014
,,Reconfiguring a Lot,Change to Approval approved 26 August 2014.,,,,
,,,Change to Approval approved 12 May 2015.,,,,
,,,Change to Approval approved 26 June 2015.,,,,
,,,,,,,
,,,NOTE: Some documents referred to in the Decision Notices have been removed from this website and will be uploaded at the conclusion of the Commonwealth Games 2018.,,,,
"Andergrove, Mackay",DEV2014/563,Reconfiguring a Lot,4 into 4 lots boundary realignment,Development Permit,"19-25 Cicada Lane, Andergrove","Lot 104, 105, 106 and 107 on SP255602",13/05/2014
"Bowen Hills, Brisbane",DEV2014/564,Material Change of Use,General Industry (Concrete Batching Plant),Development Permit,"236 Abbots Road, Bowen Hills","Lot 22 on RP46694, Lots 16 to 21 on RP48712, Lots 33 to 37 on RP55484 and Lot 314 on SP268648",17/06/2014
Yarrabilba,DEV2014/565,Operational Work,Signage Associated with Service Station,Development Permit,"26 Yarrabilba Drive, Yarrabilba",Lot 5043 on SP258541,1/05/2014
"Bowen Hills, Brisbane",DEV2014/566,Material Change of Use,Extension to an Existing Building,Development Permit,"26-28 Hamilton Place, Bowen Hills",Lot 1 on RP117102 and Lot 2 on RP125706,1/05/2014
"Andergrove, Mackay",DEV2014/567,Reconfiguring a Lot,Subdivision of 1 lot into 3,Development Permit,"11 Bunya Way, Andergrove",Lot 183 on SP256575,3/06/2014
"Andergrove, Mackay",DEV2014/569,Material Change of Use,Subdivision (1 Lot into 2 Lots) and 2 Houses on land less than 450sqm,Development Permit,"8 Bunya Way, Andergrove",Lot 164 on SP256575,12/06/2014
,,Reconfiguring a Lot,,,,,
"Bowen Hills, Brisbane",DEV2014/570,Reconfiguring a Lot,8 into 17 Lots,Development Permit,"631 Gregory Tce, 11 Symes St, 191 Constance St, 482 & 488 St Pauls Tce, 21 & 41 Costin St, 6 Alexandria St, Bowen Hills",Lots 101-107 and 701 on SP219236,23/06/2014
,,,Change to Approval approved 22 July 2014,,,,
Greater Flagstone,DEV2014/571,Operational Work,Construction of a new concrete vehicular bridge across Teviot Brook Creek to replace existing timber bridge.,Development Permit,"Edward O'Neil Bridge, Kilmoylar Road, Jimboomba",Lot 77 on SL5520,19/06/2014
Moranbah,DEV2014/572,Reconfiguring a Lot,New Road,Development Permit,"Moranbah Railway Station Road, Moranbah",Lot 252 on SP262649,22/07/2014
"Clinton, Gladstone",DEV2014/573,Material Change of Use,Multiple Residential (Duplex),Development Permit,"Sea Prince Circuit, Clinton",Lot 368 on SP257431,9/07/2014
"Clinton, Gladstone",DEV2014/574,Material Change of Use,Multiple Residential (Duplex),Development Permit,"Valhalla Street, Clinton",Lot 380 on SP257431,9/07/2014
"Clinton, Gladstone",DEV2014/575,Material Change of Use,Multiple Residential (Duplex),Development Permit,"Harmony Drive, Clinton",Lot 394 on SP261771,14/07/2014
"Clinton, Gladstone",DEV2014/576,Material Change of Use,Multiple Residential (Duplex),Development Permit,"Harmony Drive, Clinton",Lot 399 on SP261771,9/07/2014
"Clinton, Gladstone",DEV2014/577,Material Change of Use,Multiple Residential (Duplex),Development Permit,"Ciamba Street, Clinton",Lot 436 on SP261771,9/07/2014
Blackwater,DEV2014/579,Operational Work,Aquatic Centre - Sport and Recreation Reserve,Development Permit,"2 Mackenzie Street, Blackwater",Lot 1 on B337123,30/07/2014
Greater Flagstone,DEV2014/580,Material Change of Use,Low Impact Industry (Sand and Gravel Storage and Distribution),Development Permit,"4499-4651 Mount Lindesay Highway, North Maclean",Lot 39 on SP258739,4/07/2014
Greater Flagstone,DEV2014/582,Material Change of Use,Building Envelopes,Development Permit,"61 Gumview Crescent, Jimboomba",Lot 997 on SP243246,4/08/2014
"Bowen Hills, Brisbane",DEV2014/584,Material Change of Use,Car Park - Brisbane City Council Reference No. A003629048,Development Permit,"37 O'Connell Terrace, Bowen Hills Qld 4006",Lot 100 on SP229979,22/07/2013
,,,Change to Approval approved 18 July 2014.,,,,
Greater Flagstone,DEV2014/585,Reconfiguring a Lot,2 Lot Subdivision (Management Lots),Development Permit,"325 Wyatt Road, Kagaru Qld 4285",Lot 22 on SP164832,5/08/2014
"Northshore Hamilton, Brisbane",DEV2014/586,Material Change of Use,"Temporary Activities (Car Park, Outdoor Sales or Hire, Warehouse)",Development Permit,"221 and 257-281 Macarthur Avenue, Hamilton",Lot 1302 and Part Lot 1303 on SP195300 and Lots 1201 and 1202 on SP160055,6/11/2014
"Northshore Hamilton, Brisbane",DEV2014/587,Reconfiguring a Lot,8 lots into 4 lots.,Development Permit,"Macarthur Avenue and Curtin Avenue West, Hamilton","Lot 5 on SP205057, Lots 801-803 on SP219024 and Lots 806-809 and Part of Curtin Avenue West (Road Reserve) and Curtin Avenue West (Closed Road)",2/09/2014
,,,Change to Approval approved 14 April 2015.,,,,
,,,Change to Approval approved 17 April 2015.,,,,
,,,Change to Approval approved 7 September 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2014/588,Material Change of Use,MCU - Landing; and Operational Works - Tidal Works and Removal of Significant Vegetation (Marine Plants),Development Permit,"449A/B Kingsford Smith Drive, Hamilton and Brisbane River",Lot 6 on SP242727 and Lot 6 on SP237035,19/09/2014
Blackwater,DEV2014/589,Material Change of Use,MCU - 116 short term accommodation units and ROL - 11 lots into 4,Development Permit,"30 Blain Street; 32, 34 and 36 Yeates Avenue; 8-20 Meares Street, Blackwater","Lots 1-3, 10-16 and 100 on SP255432",19/12/2014
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2014/590,Reconfiguring a Lot,1 Lot into 2 Lots - Volumetric,Development Permit,"35A Hercules Street, Hamilton (Building 20)","Lot 910 on SP172657, Lot 603 on SP172640 and Lot 605 on SP213403",22/08/2014
"Bowen Hills, Brisbane",DEV2014/591,Material Change of Use,"Temporary Uses - Outdoor Sport & Recreation, Educational Establishment (Horse Riding School), & Animal Keeping & Husbandry",Development Permit,"600 Gregory Terrace, Bowen Hills",Part of Lots 112 & 113 on SP219238 & Lot 703 on SP23819,22/08/2014
"Northshore Hamilton, Brisbane",DEV2014/593,Reconfiguring a Lot,1 Lot into 2 Lots - Volumetric,Development Permit,"35A Hercules Street, Hamilton (Building 2)",Lot 812 on SP172649,22/08/2014
"Northshore Hamilton, Brisbane",DEV2014/594,Material Change of Use,Temporary Activity - Car Park for Ekka Vehicles,Development Permit,"Part 221 and 257 Macarthur Avenue, Hamilton",Part Lot 1202 on SP160055 and Part Lot 1303 on SP195300,1/08/2014
Greater Flagstone,DEV2014/595,Material Change of Use,Alterations to Telecommunications Tower,Development Permit,"Lot 996 Parkside Drive, Jimboomba",Lot 996 on SP243232,9/09/2014
"Northshore Hamilton, Brisbane",DEV2014/596,Reconfiguring a Lot,1 into 3 Lots and New Road,Development Permit,"140 Curtin Avenue West, Eagle Farm",Lot 3 on SP104140,12/11/2014
,,Operational Work,,,,,
"Bowen Street, Roma",DEV2014/597,Operational Work,"Bulk Earthworks, Stormwater (Drainage and Detention Basin), Sewer Reticulation (Pump Station) and Water Reticulation (Bore Line Relocation)",Development Permit,"143-199 Upper Bowen Street, Roma",Lot 145 on SP253603,10/10/2014
"Northshore Hamilton, Brisbane",DEV2014/598,Reconfiguring a Lot,Volumetric Access Easement,Development Permit,"1C Hercules Street, Hamilton",Lot 815 on SP172649,19/11/2014
"Northshore Hamilton, Brisbane",DEV2014/599,Material Change of Use,"MCU - Office, Research and Technology Facility, Warehouse, Showroom, Medical Centre, Shop, Food Premises, Conference Centre, Educational Facility and Community Facility; and Operational Works - Tidal Works (Pedestrian Bridges and Marine Plant Removal)",Development Permit,"319, 371, 385 Macarthur Ave & 210 Curtin Ave West, Eagle Farm","Lots 802, 803 & 809 & part Lot 806 SP210924, part Lot 5 SP205207, part Curtin Ave West (Road Reserve & Closed Road)",10/10/2014
,,Operational Work,Change to Approval approved 3 December 2014.,,,,
"Bowen Hills, Brisbane",DEV2014/600,Material Change of Use,Office,Development Permit,"42 Thompson Street, Bowen Hills",Lot 1 on SP253148,3/11/2014
Yarrabilba,DEV2014/601,Reconfiguring a Lot,1 Lot into 466 Residential Lots.,Development Permit,"1568-1618 Waterford-Tamborine Road, Yarrabilba (Precinct 2 Area 2)",Lot 903 on SP264260,15/12/2014
,,,Change to Approval approved 6 March 2015.,,,,
Yarrabilba,DEV2014/602,Material Change of Use,"2 Lots into 89 Residential Lots, 1 Park Lot and 3 Management Lots",Development Permit,"1568-1612 Waterford Tamborine Road, Yarrabilba",Lots 910 and 922 on SP264263 (formerly described as Lot 903 on SP264260 and Lot 921 on SP260508),3/02/2015
,,Reconfiguring a Lot,Change to Approval approved 14 April 2015,,,,
Moranbah,DEV2014/603,Material Change of Use,Service Station,Development Permit,"Moranbah Access Road, Moranbah",Lot 902 on SP255609,19/11/2014
"Tannum Sands, Gladstone",DEV2014/604,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"4 Marloo Drive, Tannum Blue Estate, Tannum Sands",Lot 175 on SP260342,24/10/2014
"Bowen Hills, Brisbane",DEV2014/605,Material Change of Use,Food Premises,Development Permit,"4 Thompson Street, Bowen Hills QLD 4006",Lot 3 on RP50734,16/10/2014
"Northshore Hamilton, Brisbane",DEV2014/606,Material Change of Use,MCU: Multiple Residential - 19 Dwelling Units; and ROL: 1 into 19 SFP Lots & Common Property,Development Permit,"351 Macarthur Avenue, Hamilton",Lot 808 on SP210924,4/11/2014
,,Reconfiguring a Lot,,,,,
Greater Flagstone,DEV2014/607,Reconfiguring a Lot,Creation of New Road and Widening of Existing Road,Development Permit,"Dairy Road and Wyatt Road, Kagaru; and Wyatt Road and Bushman Drive, Jimboomba","Lot 28 on S311174, Lots 1 and 3 on RP49296, Lots 23 and 24 on SP142997",1/04/2015
"Oonoonba, Townsville",DEV2014/608,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"41 Mainwaring Street, Oonoonba",Lot 429 on SP268597,3/12/2014
"Bowen Hills, Brisbane",DEV2014/609,Reconfiguring a Lot,"Staged Subdivision - Management Subdivision, Volumetric Subdivision, New Road and Common Property",Development Permit,"62-66 Brunswick Street, Fortitude Valley",Lots 5 and 6 on RP81335 and Lot 102 on SP143465,29/10/2014
,,,Change to Approval approved 15 May 2015,,,,
"Bowen Hills, Brisbane",DEV2014/610,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"48 Cintra Road, Bowen Hills",Lots 18 and 20 on RP10094,2/12/2014
,,,Change to Approval approved 12 February 2015,,,,
"Northshore Hamilton, Brisbane",DEV2014/612,Operational Work,Construction of New Roadworks,Development Permit,"296 Macarthur Avenue, Hamilton",Lot 9 on SP195300,19/03/2015
"Northshore Hamilton, Brisbane",DEV2014/614,Reconfiguring a Lot,10 lots into 9 Standard Format Plan Lots and Common Property,Development Permit,"Macarthur Avenue and Curtin Avenue West, Hamilton","Lots 2-4 on SP238221; Lots 801-803, 809 and Part Lot 806 on SP210924; Lot 2 on SP267571 and lot 5 on SP267561",16/12/2014
"Northshore Hamilton, Brisbane",DEV2014/615,Material Change of Use,"Temporary Activities (Car Park, Outdoor Sales or Hire Yard, Warehouse)",Development Permit,"66 and part of 66A Cullen Avenue, Eagle Farm",Lot 94 on RP228156 and Lot 1093 on SL8401,16/02/2015
Yarrabilba,DEV2014/616,Operational Work,Signage,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba",Lot 921 on SP260508 and Lots 5032 and 5033 on SP247344,12/11/2014
Yarrabilba,DEV2014/617,Reconfiguring a Lot,Boundary Realignment - 6 into 6 Lots,Development Permit,"3 Bailey Street and 37-47 Combs Street, Yarrabilba",Lots 765-770 on SP260502,17/12/2014
Yarrabilba,DEV2014/618,Material Change of Use,Indoor Sport and Recreation Use,Development Permit,"16-22, 24, 26 & 34-36 Yarrabilba Drive, Yarrabilba","Lots 5040, 5041, 5042 & 5044 on SP258541",19/12/2014
"Northshore Hamilton, Brisbane",DEV2014/619,Material Change of Use,Child Care Centre,Development Permit,"405 Macarthur Avenue, Hamilton",Lot 801 on SP210924,18/02/2015
"Bowen Hills, Brisbane",DEV2014/620,Operational Work,Trunk Stormwater Drainage,Development Permit,"631 Gregory Terrace and 488 St Pauls Terrace, Bowen Hills","Lot 701 on SP262955, Lot 106 on SP219236 and Lot 701 on SP219236",9/02/2015
Yarrabilba,DEV2014/621,Operational Work,Signage,Development Permit,"1568-1618 Waterford Tamborine Road, Yarrabilba",Lot 921 on SP260508,2/12/2014
"Bowen Hills, Brisbane",DEV2014/622,Reconfiguring a Lot,Volumetric Subdivision - 1 into 2 Lots,Development Permit,"37 Mayne Road, Bowen Hills",Lot 1 on RP110079,8/12/2014
"Northshore Hamilton, Brisbane",DEV2014/623,Material Change of Use,"Mixed Use Development (Comprising Multiple Residential - 567 Dwelling Units, Visitor Accommodation - 227 Rooms and Associated Facilities, Child Care Centre, Shopping Centre, Shop, Food Premises and Indoor Entertainment) and Preliminary Approval for Building Works",Preliminary Approval,"19 Hercules Street and 1C Hercules Street, Hamilton",Lot 3 on SP172658 and Lot 815 on SP172649,12/12/2014
,,,,Development Permit,,,
"Oonoonba, Townsville",DEV2014/625,Material Change of Use,Multiple Dwelling (2 Dwelling Units),Development Permit,"18 Intelligence Street, Oonoonba",Lot 651 on SP270745,3/02/2015
"Fitzgibbon, Brisbane",DEV2014/626,Material Change of Use,Multiple Residential - 2 Dwellings,Development Permit,"15 Otway Circuit, Fitzgibbon Chase, Fitzgibbon",Lot 4075 on SP257549,23/01/2015
"Fitzgibbon, Brisbane",DEV2014/627,Material Change of Use,Multiple Residential (2 Dwellings),Development Permit,"13 Otway Circuit, Fitzgibbon Chase, Fitzgibbon",Lot 4076 on SP257549,23/01/2015
"Oonoonba, Townsville",DEV2014/628,Material Change of Use,Multiple Dwelling (2 Dwelling Units),Development Permit,"6 Huxley Crescent, Oonoonba",Lot 306 on SP257327,3/02/2015
"Oonoonba, Townsville",DEV2014/629,Material Change of Use,Multiple Dwelling (2 Dwelling Units),Development Permit,"4 Huxley Crescent, Oonoonba",Lot 307 on SP257327,3/02/2015
"Bowen Hills, Brisbane",DEV2014/630,Material Change of Use,"Multiple Residential, Business, Home Based Business, Office, Sales Office and Display Home, Food Premises, Fast Food Premises, Shop and Indoor Entertainment",Development Permit,"332-342 Water Street and 62-68 Brunswick Street, Fortitude Valley","Lots 5 and 6 on RP81335, Lot 1 on RP10553, Lots 11 and 12 on RP10552, Lot 13 on RP81335 and Lot 102 on SP143465",26/06/2015
"Oonoonba, Townsville",DEV2014/631,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"8 Intercept Circuit, Oonoonba",Lot 620 on SP270745,6/02/2015
"Oonoonba, Townsville",DEV2014/632,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"10 Intercept Circuit, Oonoonba",Lot 621 on SP270745,6/02/2015
"Oonoonba, Townsville",DEV2014/633,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"10 Intelligence Street, Oonoonba",Lot 647 on SP270745,11/02/2015
"Oonoonba, Townsville",DEV2014/634,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"16 Intelligence Street, Oonoonba",Lot 650 on SP270745,11/02/2015
"Bowen Hills, Brisbane",DEV2014/635,Material Change of Use,"Visitor Accommodation (140 Units), Food Premises (51 sqm), Shop and/or Office (180 sqm) and Car Park",Development Permit,"90-96 Campbell Street; 2-12 Evans Street; and 7, 7A and 9-13 Wren Street, Bowen Hills",Lots 18-20 and 24-34 on RP9941 and Lot 22 on RP155465,26/03/2015
Yarrabilba,DEV2014/636,Reconfiguring a Lot,2 Lots into 323 Residential Lots and 1 Park Lot.,Development Permit,"Lot 910 Darlington Drive and Lot 908 Waterford Tamborine Road, Yarrabilba","Part of Lot 908 on SP264262, Part of Lot 910 on SP264263 and Part Rail Reserve",19/03/2015
,,,Change to Approval approved 27 April 2015.,,,,
,,,Change to Approval approved 17 September 2015.,,,,
Weinam Creek,DEV2014/638,Material Change of Use,Multiple Dwellings (6 Dwelling Units),Development Permit,"44 Weinam Street, Redland Bay",Lot 2 on RP135796,9/02/2015
Moranbah,DEV2014/639,Reconfiguring a Lot,1 Lot into 2 Lots (Comprising 1 Lot and 1 Balance lot),Development Permit,"82 Grosvenor Drive, Moranbah",Lot 902 on SP255609,9/02/2015
"Northshore Hamilton, Brisbane",DEV2014/640,Reconfiguring a Lot,1 Lot into 2 Lots,Development Permit,"Macarthur Avenue and Curtin Avenue West, Eagle Farm",Lot 808 on SP210924,18/12/2014
,,,Change to Approval approved 19 March 2015.,,,,
"Bowen Hills, Brisbane",DEV2014/643,Material Change of Use,Multiple Residential (37 Dwelling Units),Development Permit,"5-9 Folkestone Street, Bowen Hills","Lots 5, 6 and 7 on RP10094",22/05/2015
,,,Change to Approval approved 7 August 2015,,,,
Greater Flagstone,DEV2015/644,Reconfiguring a Lot,New Road (Road Widening),Development Permit,"Lot 9968 and 19-67 Pub Lane, Greenbank",Lot 9968 on SP163061 and Lot 5 on SP214051,28/01/2015
Greater Flagstone,DEV2015/646,Operational Work,Temporary Earthworks and Associated Works for Temporary Access Bridge Over Rail,Development Permit,"Homestead Drive, Undullah",Lot 906 on SP216472,3/03/2015
"Northshore Hamilton, Brisbane",DEV2015/648,Operational Work,Tidal Works,Development Permit,"Macarthur Avenue Central, Hamilton","Lot 2 on SP224040, Lots 1203 and 1204 on SP160055, and Lot 1167 on SP108460",17/07/2015
"Bowen Hills, Brisbane",DEV2015/649,Material Change of Use,Service Station,Development Permit,"230 Abbotsford Road, Bowen Hills",Lot 11 on RP845909,18/06/2015
,,,Change to Approval approved 7 October 2015.,,,,
"Bowen Hills, Brisbane",DEV2015/650,Reconfiguring a Lot,1 Lot into 2 Lots,Development Permit,"Gregory Terrace, Bowen Hills",Lot 705 on SP238200,23/04/2015
"Oonoonba, Townsville",DEV2015/651,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"18 Intercept Circuit, Oonoonba",Lot 625 on SP270745,8/04/2015
"Oonoonba, Townsville",DEV2015/652,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"22 Intercept Circuit, Oonoonba",Lot 627 on SP270745,13/04/2015
"Bowen Hills, Brisbane",DEV2015/653,Reconfiguring a Lot,2 Lots into 4 Lots,Development Permit,"St Pauls Terrace, Bowen Hills",Lots 123 and 712 on SP238200,26/03/2015
"Northshore Hamilton, Brisbane",DEV2015/654,Reconfiguring a Lot,1 Lot into 2 Lots (Volumetric),Development Permit,"37B Harbour Road, Hamilton",Lot 815 on AP172649,17/03/2015
"Fitzgibbon, Brisbane",DEV2015/655,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"Tasman Boulevard, Fitzgibbon",Lot 1728 on SP269196,15/04/2015
"Oonoonba, Townsville",DEV2015/656,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"3 Intelligence Street, Oonoonba",Lot 641 on SP270745,8/04/2015
"Oonoonba, Townsville",DEV2015/657,Material Change of Use,Multiple Residential (2 Dwelling Units),Development Permit,"11 Intercept Circuit, Oonoonba",Lot 605 on SP270745,8/04/2015
Yarrabilba,DEV2015/661,Material Change of Use,Business (Temporary Office),Development Permit,"1620-1624 Waterford Tamborine Road, Yarrabilba",Lot 1 on RP78883 and Access Over Part Lot 923 on SP271600,23/04/2015
"Bowen Hills, Brisbane",DEV2015/662,Material Change of Use,Warehouse (Self Storage Facility),Development Permit,"192-200 Abbotsford Road, Bowen Hills",Lots 1 and 2 on RP55530; Lots 74 and 75 on RP9371; and Lots 79 and 80 on RP57006,11/05/2015
"Bowen Hills, Brisbane",DEV2015/663,Material Change of Use,"Multiple Residential (521 Dwelling Units), Business, Food Premises, Indoor Entertainment, Medical Centre, Office and Shop",Development Permit,"527 Gregory Terrace, Fortitude Valley Qld 4006",Lot 22 on RP202547,14/08/2015
"Oonoonba, Townsville",DEV2015/665,Reconfiguring a Lot,1 Lot into 55 Lots and New Road,Development Permit,"46 Riveredge Boulevard, Oonoonba",Lot 9001 on SP270745,18/08/2015
"Fitzgibbon, Brisbane",DEV2015/666,Reconfiguring a Lot,New Road,Development Permit,"Telegraph Road, Fitzgibbon",Lot 5013 on SP269196,15/05/2015
Yarrabilba,DEV2015/667,Reconfiguring a Lot,"2 lots into 145 residential lots, 2 park lots and new road",Development Permit,"Lots 914 and 917 Darlington Drive, Yarrabilba",Lots 914 and 917 on SP271603 and part Darling Drive Road Reserve,27/08/2015
"Northshore Hamilton, Brisbane",DEV2015/668,Material Change of Use,Temporary Activity (Warehouse),Development Permit,"95 Cullen Avenue West, Hamilton",Lot 1 on SP104140,24/06/2015
Greater Flagstone,DEV2015/669,Reconfiguring a Lot,1 Lot into 4 Lots to Establish Lease Areas,Development Permit,"946-960 Greenbank Road, North Maclean",Lot 1 on SP267252,16/04/2015
Blackwater,DEV2015/670,Material Change of Use,Outdoor Sport and Recreation (Aquatic Centre),Development Permit,"Hunter Street, Blackwater",Lot 63 on HT611,25/06/2015
Yarrabilba,DEV2015/671,Reconfiguring a Lot,"2 Lots into 227 Residential Lots, 3 Park Lots and New Road",Development Permit,"Darlington Drive, Yarrabilba",Lot 916 on SP271603 and Lot 908 on SP264262,27/08/2015
Blackwater,DEV2015/672,Material Change of Use,House (Carport),Development Permit,"11 Ironbark Street, Blackwater",Lot 16 on B33719,6/05/2015
"Oonoonba, Townsville",DEV2015/673,Reconfiguring a Lot,1 Lot into 2 Lots,Development Permit,"46 Riveredge Boulevard, Oonoonba",Lot 9001 on SP270745,18/06/2015
"Bowen Hills, Brisbane",DEV2015/674,Reconfiguring a Lot,1 Lot into 5 Lots,Development Permit,"191 Constance Street, Bowen Hills",Lot 118 on SP238200,2/06/2015
"Fitzgibbon, Brisbane",DEV2015/676,Reconfiguring a Lot,1 Lot into 3 Lots plus Access Easement,Development Permit,"Telegraph Road, Fitzgibbon",Lot 5013 on SP269196,22/05/2015
Ripley Valley,DEV2015/678,Reconfiguring a Lot,New Road and Four Balance Lots,Development Permit,"Providence Parade, Abrahams Road and Bayliss Road, South Ripley","Lot 7001 on SP226966, Lots 62 and 77 on S151855, and Lot 79 on SL79",5/06/2015
"Bowen Hills, Brisbane",DEV2015/682,Material Change of Use,Multiple Residential (130 Dwelling Units) and Commercial and Retail Uses,Development Permit,"61 Brookes Street, Bowen Hills",Lot 3 on RP910687,14/10/2015
"Bowen Hills, Brisbane",DEV2015/683,Material Change of Use,Short Term (Visitor) Accommodation,Development Permit,"153 Campbell Street, Bowen Hills",Lot 1 on SP193899,7/09/2015
Moranbah,DEV2015/684,Material Change of Use,Telecommunications Facility,Development Permit,"Tallon Street, Moranbah",Lot 53 on SP244521,22/06/2015
"Fitzgibbon, Brisbane",DEV2015/686,Operational Work,Clearing Significant Vegetation,Development Permit,"411 Roghan Road, Fitzgibbon",Lot 2 on RP77213 and Lot 1 on RP177978,16/07/2015
Greater Flagstone,DEV2015/688,Material Change of Use,Multiple Residential (5 Dwelling Units),Development Permit,"16-18 Reserve Drive, Jimboomba",Lot 1 on SP243247,17/09/2015
Greater Flagstone,DEV2015/689,Material Change of Use,Multiple Residential (4 Dwelling Units),Development Permit,"37 Ridgecrest Drive, Jimboomba",Lot 15111 on SP243272,11/08/2015
"Northshore Hamilton, Brisbane",DEV2015/690,Material Change of Use,Car Park (Temporary Use),Development Permit,"221, 257-281 Macarthur Avenue, Hamilton",Part Lot 1202 on SP160055 and Part Lot 302 on SP257482,16/07/2015
Yarrabilba,DEV2015/691,Operational Work,Streetscape and Road Works,Development Permit,"Summerview Avenue & Highlands Street, Yarrabilba",Existing Road Reserve,1/09/2015
Weinam Creek,DEV2015/693,Material Change of Use,Multiple Dwelling (12 Dwelling Units),Development Permit,"95-99 Hamilton Street, Redland Bay",Lots 134-137 on RP116753,2/09/2015
Yarrabilba,DEV2015/694,Material Change of Use,Outdoor Sport and Recreation (Temporary Facilities),Development Permit,"Shaw Street Oval, Corner Shaw Street and Wongawallan Drive, Yarrabilba",Lot 923 on SP271600,6/08/2015
"Bowen Hills, Brisbane",DEV2015/695,Operational Work,Trunk Sewer,Development Permit,"631 Gregory Terrace and Alexandria Street, Bowen Hills",Lot 708 on SP238200 and Alexandria Street Road Reserve,21/09/2015
Greater Flagstone,DEV2015/698,Material Change of Use,Service Station,Development Permit,"1 Pub Lane, Greenbank",Part of Lot 1 on RP52978,15/09/2015
Yarrabilba,DEV2015/700,Reconfiguring a Lot,New Road,Development Permit,"1620-1642 Waterford Tamborine Road, Yarrabilba",Lot 1 on RP78883 and Lot 926 on SP278192,24/08/2015
"Bowen Hills, Brisbane",DEV2015/701,Operational Work,Enabling Infrastructure (Trunk Stormwater),Development Permit,"631 Gregory Terrace, Bowen Hills",Lot 708 on SP238200,14/10/2015
"Northshore Hamilton, Brisbane",DEV2015/702,Reconfiguring a Lot,3 into 4 Lots,Development Permit,"Remora Road, Eagle Farm","Lots 402, 403 and 406 on SP187479",19/08/2015
Yarrabilba,DEV2015/707,Operational Work,Advertising Device (2 Advertising Devices),Development Permit,"1568-1618 Waterford Tamborine Road and 2-14 Yarrabilba Drive, Yarrabilba",Lot 926 on SP278192 and Lot 5007 on SP258541,11/09/2015
